,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
409,Holiday Inn Bengaluru Racecourse by IHG,"Gandhi nagar, Bangalore",Bangalore,Standard Room1 double bedNo prepayment needed – ,0.0,242947.0,48589.0,0.0,10412.0,9.1,Superb,No,17.0,YES,YES,NO
410,Truelife Whitefield - Premium 1 BHK Apartments - Prime location - Easy access to Main Rd - Metro - ITPL - Fast WiFi - Kitchen - Smart TV - Power backup - Park - Garden views,"Whitefield, Bangalore",Bangalore,"One-Bedroom Apartment with BalconyEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 46m²2 beds (1 sofa bed, 1 large double)No prepayment needed – ",0.0,77112.0,9253.0,0.0,3084.46,7.2,Good,No,526.0,YES,YES,NO
411,ibis Bengaluru Hosur Road - An Accor Brand,Bangalore,Bangalore,Standard Queen Room1 large double bedNo prepayment needed – ,0.0,137000.0,16440.0,0.0,5480.0,7.6,Good,No,139.0,YES,YES,NO
412,Sanctum Suites Domlur Bangalore,Bangalore,Bangalore,Deluxe Queen Room1 double bed,0.0,79200.0,9504.0,0.0,3168.0,7.4,Good,No,142.0,YES,NO,NO
413,Olive Hotel Palace Road by Embassy Group,"Sheshadripuram, Bangalore",Bangalore,Standard Double Room1 large double bedNo prepayment needed – ,0.0,85114.0,10214.0,0.0,3404.57,9.0,Superb,No,687.0,YES,YES,NO
414,The Leela Bhartiya City Bengaluru,Bangalore,Bangalore,Deluxe Room1 extra-large double bed,0.0,355300.0,63954.0,0.0,14973.36,6.7,Review Score,No,21.0,YES,NO,YES
415,Hotel Classio Koramagala,"Koramangala, Bangalore",Bangalore,Double Room1 large double bedNo prepayment needed – ,0.0,62392.0,7487.0,0.0,2495.68,8.3,Very Good,No,17.0,YES,YES,NO
416,Lite Stays - Koramangala,"Koramangala, Bangalore",Bangalore,One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²1 double bed,0.0,83972.0,10077.0,0.0,3358.89,7.6,Good,No,323.0,YES,NO,NO
417,ibis Bengaluru Hebbal - An Accor Brand,"Nagavara, Bangalore",Bangalore,Standard Room with One Double Bed1 double bed,0.0,119520.0,14342.0,0.0,4780.79,8.1,Very Good,No,34.0,NO,NO,NO
418,Achates Corporate Services,Bangalore,Bangalore,2×Deluxe Room4 single bedsNo prepayment needed – ,0.0,94640.0,11357.0,0.0,3785.61,4.2,Review Score,No,6.0,YES,YES,NO
419,FabHotel Humming Suites,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,78895.0,50493.0,6059.0,28402.0,2019.71,8.9,Fabulous,No,47.0,YES,YES,NO
420,The Auberge Boutique Hotel - Manyata Tech Park,Bangalore,Bangalore,Superior Double or Twin Room1 double bedNo prepayment needed – ,60200.0,51170.0,6140.0,9030.0,2046.79,9.0,Superb,No,11.0,YES,YES,NO
421,FabHotel Sai Luxury Comforts,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,97063.0,62121.0,7454.0,34942.0,2484.82,8.5,Very Good,No,292.0,YES,YES,NO
422,Lilac Hotel 3rd Block,"Jayanagar, Bangalore",Bangalore,Executive Room1 large double bed,0.0,146178.0,17541.0,0.0,5847.11,8.0,Very Good,No,948.0,YES,NO,NO
423,Regenta Inn Indiranagar by Royal Orchid Hotels,"Indiranagar, Bangalore",Bangalore,Deluxe Room1 large double bed,0.0,111265.0,13352.0,0.0,4450.61,8.3,Very Good,No,33.0,YES,NO,NO
424,DayOne Suites,Bangalore,Bangalore,VillaEntire villa • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 929m²4 double bedsNo prepayment needed – ,0.0,158760.0,19051.0,0.0,6350.39,8.5,Very Good,No,804.0,YES,YES,NO
425,Vivanta Bengaluru Residency Road,"MG Road, Bangalore",Bangalore,Superior Double Room1 extra-large double bed,0.0,323000.0,58140.0,0.0,13612.14,8.7,Fabulous,No,760.0,YES,NO,YES
426,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,Bangalore,Bangalore,Deluxe Double or Twin RoomBeds: 1 double or 2 singles,0.0,321725.0,57911.0,0.0,13558.43,8.8,Fabulous,No,551.0,NO,NO,NO
427,Taj West End,Bangalore,Bangalore,Luxury Room Heritage Wing 1 extra-large double bed,0.0,712000.0,128160.0,0.0,30005.71,8.1,Very Good,No,0.0,YES,NO,NO
428,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru","MG Road, Bangalore",Bangalore,Deluxe Double Room1 large double bedNo prepayment needed – ,0.0,250000.0,45000.0,0.0,10535.71,5.9,Review Score,No,8.0,YES,YES,YES
429,FabHotel Willow Tree,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,78867.0,50475.0,6057.0,28392.0,2019.0,7.0,Good,No,44.0,YES,YES,NO
430,Orchid Suites - A Boutique Hotel Bangalore Off Residency Road,Bangalore,Bangalore,Deluxe Queen Room1 large double bedNo prepayment needed – ,0.0,94080.0,11290.0,0.0,3763.21,8.3,Very Good,No,383.0,YES,YES,NO
431,Grand Mercure Bangalore - An Accor Brand,"Koramangala, Bangalore",Bangalore,One Bedroom Suite without BalconyEntire apartment • 1 bathroom • 58m²,0.0,317668.0,57180.0,0.0,13387.43,8.1,Very Good,No,545.0,NO,NO,NO
432,Holiday Inn Express & Suites Bengaluru Old Madras Road by IHG,Bangalore,Bangalore,Standard Twin Room2 single beds,0.0,149987.0,17998.0,0.0,5999.46,7.7,Good,No,256.0,YES,NO,YES
433,Sanctum Suites Whitefield Bangalore,"Whitefield, Bangalore",Bangalore,Deluxe Queen Room1 large double bed,0.0,67400.0,8088.0,0.0,2696.0,8.5,Very Good,No,793.0,YES,NO,NO
434,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Bangalore,Bangalore,Queen or Twin Room with City/Pool View - Towers1 large double bedNo prepayment needed – ,0.0,354320.0,63778.0,0.0,14932.07,6.8,Review Score,No,141.0,YES,YES,YES
435,Hotel Airport Southgate Bangalore,Bangalore,Bangalore,One-Bedroom SuitePrivate suite1 extra-large double bedNo prepayment needed – ,0.0,52920.0,6350.0,0.0,2116.79,8.3,Very Good,No,581.0,YES,YES,NO
436,Ramada Encore Domlur Bangalore,Bangalore,Bangalore,Deluxe Queen Room1 large double bedNo prepayment needed – ,0.0,172000.0,20640.0,0.0,6880.0,7.5,Good,No,65.0,YES,YES,YES
437,HOTEL BALINOVA,Bangalore,Bangalore,Deluxe Room1 double bed,0.0,52920.0,6350.0,0.0,2116.79,6.2,Review Score,No,103.0,NO,NO,YES
438,Treebo Suraksha Inn,"Indiranagar, Bangalore",Bangalore,Standard Double RoomBeds: 1 double or 2 singlesNo prepayment needed – ,241206.0,139899.0,16788.0,101307.0,5595.96,8.1,Very Good,No,16.0,YES,YES,YES
439,FabHotel Sky View Palace - Marathahalli Outer Ring Road,"Marathahalli, Bangalore",Bangalore,Deluxe Room1 double bedNo prepayment needed – ,100323.0,64207.0,7705.0,36116.0,2568.29,8.6,Fabulous,No,711.0,YES,YES,NO
440,Locul Midtown-Indiranagar,"Indiranagar, Bangalore",Bangalore,2×6 bed Non ac Male only dorm 2 beds in dormitories2 bunk beds,0.0,45360.0,5443.0,0.0,1814.39,8.4,Very Good,No,102.0,YES,NO,NO
441,Radha Regent Electronic City,"Electronic City, Bangalore",Bangalore,Superior Double Room1 double bedBreakfast & dinner includedNo prepayment needed – ,0.0,314975.0,74334.0,0.0,13903.89,8.4,Very Good,No,995.0,YES,YES,NO
442,Locul Central - Church Street,"MG Road, Bangalore",Bangalore,2×6 Bed Non AC Male Only Dorm2 beds in dormitories2 bunk beds,0.0,43092.0,5171.0,0.0,1723.68,8.8,Fabulous,No,349.0,YES,NO,NO
443,Adarsh Hamilton,Bangalore,Bangalore,Deluxe Room Multiple bed types,350000.0,273000.0,49140.0,77000.0,11505.0,8.2,Very Good,No,95.0,YES,NO,YES
444,FabHotel Prime The Vintage Inn,"Electronic City, Bangalore",Bangalore,Deluxe Room1 double bedNo prepayment needed – ,97126.0,62160.0,7459.0,34966.0,2486.39,8.6,Fabulous,No,9.0,YES,YES,NO
445,"Golden Residency, Gandhi Nagar Bangalore","Gandhi nagar, Bangalore",Bangalore,Deluxe Twin Room1 single bed,130675.0,78405.0,9409.0,52270.0,3136.21,7.9,Good,No,29.0,NO,NO,NO
446,Sun Shine Hotel,Bangalore,Bangalore,Deluxe King Room1 large double bedNo prepayment needed – ,0.0,84854.0,10182.0,0.0,3394.14,8.7,Fabulous,No,967.0,YES,YES,NO
447,"Staymazing Ferndale-1,2&3 BHK Boutique AC Serviced Apartments","Hebbal, Bangalore",Bangalore,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²2 beds (1 double, 1 sofa bed) • Free cot always availableNo prepayment needed – ",78952.0,51674.0,6201.0,27278.0,2066.96,0.0,Not Available,No,0.0,YES,YES,NO
448,Locul Uptown - Near Bangalore Palace Grounds,Bangalore,Bangalore,Deluxe Queen Room1 large double bed,0.0,48354.0,5802.0,0.0,1934.14,0.0,Not Available,No,0.0,YES,NO,NO
