,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
324,Munkudil Ayurveda & Yoga Retreat,Kuttampuzha,Kerala,Standard Double Room with Fan2 large double bedsNo prepayment needed – ,0.0,78400.0,9408.0,0.0,3136.0,8.6,Fabulous,YES,20.0,YES,YES,YES
325,Kalamana Serene,Chāvakkād,Kerala,Family Room1 double bed,68600.0,44100.0,5292.0,24500.0,1764.0,7.6,Good,YES,39.0,NO,NO,NO
326,Jeevess Wellness Resort,Wayanad,Kerala,Garden Cottage (Anika ) Specially for Physically challenged1 large double bed,0.0,228480.0,41126.0,0.0,9628.79,8.9,Fabulous,YES,85.0,YES,NO,YES
327,"Treebo Premium Cochin Airport, 5 min From Cochin Airport",Ernakulam,Kerala,Economy Double Room1 extra-large double bedNo prepayment needed – ,141727.0,90705.0,10885.0,51022.0,3628.21,8.3,Very Good,YES,102.0,YES,YES,YES
328,Avadale Thekkady - Stag Groups Not Allowed,Thekkady,Kerala,Standard Double Room1 extra-large double bed,0.0,86119.0,10334.0,0.0,3444.75,8.7,Fabulous,YES,367.0,NO,NO,NO
329,900 Woods Wayanad Eco Resort - A Sprawling Jungle Stay near Glass Bridge,Meppādi,Kerala,Budget Double Room1 large double bed,0.0,204714.0,24566.0,0.0,8188.57,8.5,Very Good,YES,20.0,YES,NO,NO
330,Le Serene Munnar Luxury Resorts & Spa,Ūdumbanshola,Kerala,Double Room with Balcony1 large double bedNo prepayment needed – ,0.0,136559.0,16387.0,0.0,5462.36,8.7,Fabulous,YES,11.0,YES,YES,NO
331,Woodside Homestay Wayanad,Batheri,Kerala,Deluxe Double Room with Shower1 double bed,84000.0,71400.0,8568.0,12600.0,2856.0,9.5,Exceptional,YES,47.0,YES,NO,NO
332,HOTEL PRINCE,Kāladi,Kerala,Standard Double Room1 large double bed,0.0,57377.0,6885.0,0.0,2295.07,8.4,Very Good,YES,27.0,YES,NO,YES
333,Marari Beach Bungalow Resort Alleppey,"Marari Beach, Mararikulam",Kerala,King Suite with BalconyPrivate suite1 large double bed,0.0,249040.0,44827.0,0.0,10495.25,9.6,Exceptional,YES,184.0,NO,NO,YES
